DUID,FuelType,Region,MaxCapacityMW,StationName
ADPMH1,HYDRO,SA1,1.0,Adelaide Desalination Plant
ADPPV1,SOLAR,SA1,19.0,Adelaide Desalination Plant
ADPPV2,SOLAR,SA1,0.2,Adelaide Desalination Plant
ADPPV3,SOLAR,SA1,0.02,Adelaide Desalination Plant
ALDGASF1,SOLAR,QLD1,387.0,Aldoga Solar Farm 
ARWF1,WIND,VIC1,241.0,Ararat Wind Farm
AVLSF1,SOLAR,NSW1,190.0,Avonlie Solar Farm
BAKING1,SOLAR,QLD1,14.0,Baking Board Solar Farm
BALDHWF1,WIND,VIC1,106.0,Bald Hills Wind Farm
BANGOWF1,WIND,NSW1,155.0,Bango 973 Wind Farm
BANGOWF2,WIND,NSW1,82.0,Bango 999 Wind Farm
BAPS,HYDRO,VIC1,13.0,Banimboola Power Station
BANN1,SOLAR,VIC1,88.0,Bannerton Solar Park
BARCSF1,SOLAR,QLD1,20.0,Barcaldine Solar Farm
BARRON-1,HYDRO,QLD1,33.0,Barron Gorge Power Station
BARRON-2,HYDRO,QLD1,33.0,Barron Gorge Power Station
BASTYAN,HYDRO,TAS1,88.0,Bastyan Power Station
BRYB2WF2,WIND,VIC1,105.0,Berrybank 2 Wind Farm
BRYB1WF1,WIND,VIC1,175.9,Berrybank Wind Farm
BERYLSF1,SOLAR,NSW1,87.0,Beryl Solar Farm
BLOWERNG,HYDRO,NSW1,80.0,Blowering Power Station
BLUEGSF1,SOLAR,QLD1,148.0,Blue Grass Solar Farm
BOCORWF1,WIND,NSW1,111.0,Boco Rock Wind Farm
BODWF1,WIND,NSW1,111.0,Bodangora Wind Farm 
MCKAY1,HYDRO,VIC1,300.0,Bogong / Mackay Power Station
BOWWPV1,SOLAR,SA1,6.0,Bolivar Waste Water Treatment Plant
BOMENSF1,SOLAR,NSW1,100.0,Bomen Solar Farm
BROKENH1,SOLAR,NSW1,53.0,Broken Hill Solar Plant
BROWNMT,HYDRO,NSW1,6.0,Brown Mountain Hydro Power Station
BULGANA1,WIND,VIC1,204.0,Bulgana Green Power Hub
BNGSF1,SOLAR,SA1,110.0,Bungala One Solar Farm
BNGSF2,SOLAR,SA1,110.0,Bungala Two Solar Farm
BDONGHYD,HYDRO,NSW1,19.0,Burrendong Hydro Power Station
BURRIN,HYDRO,NSW1,34.0,Burrinjuck Hydro Power Station
BUTLERSG,HYDRO,TAS1,15.0,Butlers Gorge Power Station
CNUNDAWF,WIND,SA1,46.0,Canunda Wind Farm
CESF1,SOLAR,NSW1,1.0,Capital East Solar Farm
CAPTL_WF,WIND,NSW1,140.0,Capital Wind Farm
LI_WY_CA,HYDRO,TAS1,192.0,Catagunya / Liapootah / Wayatinah Power Station
CATHROCK,WIND,SA1,66.0,Cathedral Rocks
CTHLWF1,WIND,TAS1,144.0,Cattle Hill Wind Farm
CETHANA,HYDRO,TAS1,100.0,Cethana Power Station
CHALLHWF,WIND,VIC1,52.0,Challicum Hills Wind Farm
CHPSTWF1,WIND,VIC1,6.0,Chepstowe Wind Farm
CHYTWF1,WIND,VIC1,57.0,Cherry Tree Wind Farm
CHILDSF1,SOLAR,QLD1,56.0,Childers Solar Farm
CBWWPV1,SOLAR,SA1,2.0,Christies Beach Wastewater Treatment Plant
CBWWPV2,SOLAR,SA1,0.81,Christies Beach Wastewater Treatment Plant
CLARESF1,SOLAR,QLD1,100.0,Clare Solar Farm
CLRKCWF1,WIND,QLD1,338.0,Clarke Creek Wind Farm
CLEMGPWF,WIND,SA1,57.0,Clements Gap Wind Farm
CLERMSF1,SOLAR,QLD1,75.0,Clermont Solar Farm
CLOVER,HYDRO,VIC1,29.0,Clover Power Station
CLUNY,HYDRO,TAS1,22.0,Cluny Power Station
CODRNGTON,WIND,VIC1,18.0,Codrington Wind Farm
COHUNSF1,SOLAR,VIC1,27.0,Cohuna Solar Farm
COLEASF1,SOLAR,NSW1,150.0,Coleambally Solar Farm
COLWF01,WIND,NSW1,219.0,Collector Wind Farm 1
CSPVPS1,SOLAR,QLD1,40.0,Collinsville Solar PV Power Station
COLUMSF1,SOLAR,QLD1,162.0,Columboola Solar Farm
CBWF1,WIND,VIC1,20.0,Coonooer Bridge Wind Farm
COOPGWF1,WIND,QLD1,440.0,Coopers Gap Wind Farm
COPTNHYD,HYDRO,NSW1,23.0,Copeton Hydro Power Station
CRWASF1,SOLAR,NSW1,30.0,Corowa Solar Farm
CROOKWF2,WIND,NSW1,91.0,Crookwell 2 Wind Farm
CROOKWF3,WIND,NSW1,56.0,Crookwell 3 Wind Farm
CROWLWF1,WIND,VIC1,79.0,Crowlands Wind Farm
CRURWF1,WIND,NSW1,138.0,Crudine Ridge Wind Farm
CULLRGWF,WIND,NSW1,30.0,Cullerin Range Wind Farm
DDSF1,SOLAR,QLD1,108.0,Darling Downs Solar Farm
DARLSF1,SOLAR,NSW1,275.0,Darlington Point Solar Farm
DARTM1,HYDRO,VIC1,185.0,Dartmouth Power Station
DAYDSF1,SOLAR,QLD1,150.0,Daydream Solar Farm
DEVILS_G,HYDRO,TAS1,67.0,Devils Gate Power Station
DIAPURWF1,WIND,VIC1,7.0,Diapur Wind Farm
DULAWF1,WIND,QLD1,173.0,Dulacca Wind Farm
DUNDWF1,WIND,VIC1,168.0,Dundonnell Wind Farm
DUNDWF2,WIND,VIC1,46.0,Dundonnell Wind Farm
DUNDWF3,WIND,VIC1,122.0,Dundonnell Wind Farm
EDENVSF1,SOLAR,QLD1,146.0,Edenvale Solar Park
EILDON1,HYDRO,VIC1,60.0,Eildon Power Station
EILDON2,HYDRO,VIC1,60.0,Eildon Power Station
EILDON3,HYDRO,VIC1,5.0,Eildon Power Station
ELAINWF1,WIND,VIC1,82.0,Elaine Wind Farm
EMERASF1,SOLAR,QLD1,72.0,Emerald Solar Park
FNWF1,WIND,VIC1,3.0,Ferguson North Wind Farm
FSWF1,WIND,VIC1,7.0,Ferguson South Wind Farm
FINLYSF1,SOLAR,NSW1,133.0,Finley Solar Farm
FISHER,HYDRO,TAS1,46.0,Fisher Power Station
FLYCRKWF,WIND,NSW1,140.0,Flyers Creek Wind Farm
GANGARR1,SOLAR,QLD1,120.0,Gangarri Solar Farm
GANNSF1,SOLAR,VIC1,50.0,Gannawarra Solar Farm
GIRGSF,SOLAR,VIC1,76.0,Girgarre Solar Farm
GLBWNHYD,HYDRO,NSW1,6.0,Glenbawn Hydro Power Station
GLENMAG1,HYDRO,VIC1,4.0,Glenmaggie Hydro Power Station
GLENSF1,SOLAR,VIC1,102.0,Glenrowan Solar Farm
GLRWNSF1,SOLAR,VIC1,110.0,Glenrowan West Solar Farm
GPWFEST1,WIND,VIC1,240.0,Golden Plains Wind Farm East
GPWFEST2,WIND,VIC1,253.0,Golden Plains Wind Farm East
GPWFEST3,WIND,VIC1,240.0,Golden Plains Wind Farm East
GOONSF1,SOLAR,NSW1,69.0,Goonumbla Solar Farm
GORDON,HYDRO,TAS1,450.0,Gordon Power Station
GSWF1A,WIND,SA1,201.0,Goyder South Wind Farm 1A
GSWF1B1,WIND,SA1,196.0,Goyder South Wind Farm 1B
GRANWF1,WIND,TAS1,111.0,Granville Harbour Wind Farm
GRIFSF1,SOLAR,NSW1,27.0,Griffith Solar Farm
GULLRSF1,SOLAR,NSW1,10.0,Gullen Range Solar Farm
GULLRWF1,WIND,NSW1,161.0,Gullen Range Wind Farm
GULLRWF2,WIND,NSW1,107.0,Gullen Range Wind Farm
GNNDHSF1,SOLAR,NSW1,110.0,Gunnedah Solar Farm
GUNNING1,WIND,NSW1,47.0,Gunning Wind Farm
GUTHEGA,HYDRO,NSW1,80.0,Guthega Power Station
GUTHEGA,HYDRO,NSW1,80.0,Guthega Power Station
